Study,Equipment,Component,EmissionsKgD
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,17.43
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,22.17
Allen2014a,PC,PC,21.95
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,26.58
Allen2014a,PC,PC,9.69
Allen2014a,PC,PC,66.15
Allen2014a,PC,PC,19.83
Allen2014a,PC,PC,19.09
Allen2014a,PC,PC,9.78
Allen2014a,PC,PC,0.03
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.61
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.21
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.25
Allen2014a,PC,PC,2.25
Allen2014a,PC,PC,0.41
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.66
Allen2014a,PC,PC,8.12
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.05
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.2
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.21
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.19
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.22
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,5.73
Allen2014a,PC,PC,0.57
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,2.13
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.74
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.5
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0.21
Allen2014a,PC,PC,0
Allen2014a,PC,PC,0
